avg_section_depth,delivery_time_stats,execution_time,heap_extracts,heap_inserts,max_section_depth,packages_moved,peak_memory_kb,re_storage_events,rerouting_count,stack_pops,stack_pops_rearmazenado,stack_pushes,storage_time_stats,transit_time_stats,transport_capacity,transport_events,transport_utilization,metrics_file
0.8127690100430416,"{'count': 1000, 'max': 490, 'mean': 156.697, 'median': 135.0, 'min': 21, 'p95': 341}",1.114096803,12882,12930,5,4182,3620,0,0,2091,0,2091,"{'count': 2091, 'max': 384, 'mean': 58.94787183165949, 'median': 28, 'min': 0, 'p95': 220}","{'count': 2091, 'max': 102, 'mean': 54.93878527020564, 'median': 56, 'min': 1, 'p95': 94}",5,9742,8.585506056251283,../results/expB_40window.in/metrics.json
22.347922379244885,"{'count': 1000, 'max': 3599, 'mean': 721.939, 'median': 256.0, 'min': 22, 'p95': 2480}",0.938332358,5172,5220,116,14986,3688,5504,155,7493,0,7493,"{'count': 1989, 'max': 3506, 'mean': 336.281045751634, 'median': 0, 'min': 0, 'p95': 1809}","{'count': 1989, 'max': 2338, 'mean': 342.96581196581195, 'median': 92, 'min': 2, 'p95': 1450}",5,2134,140.4498594189316,../results/expB_4window.in/metrics.json
13.227522683530383,"{'count': 1000, 'max': 2838, 'mean': 492.515, 'median': 200.0, 'min': 21, 'p95': 1715}",0.828015944,5243,5291,66,10526,3720,3252,119,5263,0,5263,"{'count': 2011, 'max': 2738, 'mean': 220.04077573346595, 'median': 24, 'min': 0, 'p95': 1109}","{'count': 2011, 'max': 1336, 'mean': 224.91049229239184, 'median': 76, 'min': 1, 'p95': 998}",5,2183,96.43609711406322,../results/expB_6window.in/metrics.json
6.461924386310697,"{'count': 1000, 'max': 1639, 'mean': 314.405, 'median': 179.0, 'min': 21, 'p95': 1135}",0.768315553,5354,5402,40,7108,3620,1527,89,3554,0,3554,"{'count': 2027, 'max': 1557, 'mean': 127.60286137148495, 'median': 27, 'min': 0, 'p95': 612}","{'count': 2027, 'max': 790, 'mean': 135.10853478046374, 'median': 72, 'min': 1, 'p95': 590}",5,2278,62.40561896400351,../results/expB_8window.in/metrics.json
1.941190533110208,"{'count': 1000, 'max': 492, 'mean': 163.0, 'median': 144.5, 'min': 21, 'p95': 355}",0.628848042,5434,5482,11,4186,3724,3,1,2093,0,2093,"{'count': 2090, 'max': 388, 'mean': 62.338755980861244, 'median': 30.5, 'min': 0, 'p95': 221}","{'count': 2090, 'max': 121, 'mean': 57.99043062200957, 'median': 62.0, 'min': 1, 'p95': 99}",10,2295,18.239651416122005,../results/expC_cap10.in/metrics.json
1.9505021520803443,"{'count': 1000, 'max': 492, 'mean': 162.77, 'median': 144.5, 'min': 21, 'p95': 355}",0.626339613,5435,5483,12,4182,3680,0,0,2091,0,2091,"{'count': 2091, 'max': 388, 'mean': 62.246293639406986, 'median': 31, 'min': 0, 'p95': 221}","{'count': 2091, 'max': 120, 'mean': 57.84313725490196, 'median': 62, 'min': 1, 'p95': 99}",12,2295,15.185185185185185,../results/expC_cap12.in/metrics.json
1.9505021520803443,"{'count': 1000, 'max': 492, 'mean': 162.77, 'median': 144.5, 'min': 21, 'p95': 355}",0.641270188,5435,5483,12,4182,3684,0,0,2091,0,2091,"{'count': 2091, 'max': 388, 'mean': 62.246293639406986, 'median': 31, 'min': 0, 'p95': 221}","{'count': 2091, 'max': 120, 'mean': 57.84313725490196, 'median': 62, 'min': 1, 'p95': 99}",15,2295,12.148148148148149,../results/expC_cap15.in/metrics.json
1.9505021520803443,"{'count': 1000, 'max': 492, 'mean': 162.77, 'median': 144.5, 'min': 21, 'p95': 355}",0.649702762,5435,5483,12,4182,3776,0,0,2091,0,2091,"{'count': 2091, 'max': 388, 'mean': 62.246293639406986, 'median': 31, 'min': 0, 'p95': 221}","{'count': 2091, 'max': 120, 'mean': 57.84313725490196, 'median': 62, 'min': 1, 'p95': 99}",18,2295,10.123456790123457,../results/expC_cap18.in/metrics.json
22.039756312021105,"{'count': 1000, 'max': 8049, 'mean': 1360.074, 'median': 283.5, 'min': 21, 'p95': 5240}",1.439773174,8348,8396,102,27878,3792,11956,157,13939,0,13939,"{'count': 1983, 'max': 7801, 'mean': 652.690872415532, 'median': 0, 'min': 0, 'p95': 3855}","{'count': 1983, 'max': 5087, 'mean': 665.8668683812406, 'median': 96, 'min': 1, 'p95': 3137}",2,5316,262.2084273890143,../results/expC_cap2.in/metrics.json
1.9505021520803443,"{'count': 1000, 'max': 492, 'mean': 162.77, 'median': 144.5, 'min': 21, 'p95': 355}",0.650738533,5435,5483,12,4182,3780,0,0,2091,0,2091,"{'count': 2091, 'max': 388, 'mean': 62.246293639406986, 'median': 31, 'min': 0, 'p95': 221}","{'count': 2091, 'max': 120, 'mean': 57.84313725490196, 'median': 62, 'min': 1, 'p95': 99}",20,2295,9.11111111111111,../results/expC_cap20.in/metrics.json
